Name,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GDP,HBP,SH,SF,IBB
Andrew Chafin,TOT,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Chafin,ARI,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yu Chang,BOS,39,112,105,12,17,2,0,6,18,4,0,3,34,2,2,2,0,0
Aroldis Chapman*,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aroldis Chapman*,KCR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Chapman,TOR,140,581,509,66,122,39,2,17,54,4,2,62,165,4,8,0,2,1
Michael Chavis,WSN,48,96,91,16,22,3,0,2,5,1,0,5,33,3,0,0,0,0
Jazz Chisholm Jr.*,MIA,97,383,352,50,88,12,2,19,51,22,3,26,118,4,2,1,2,0
Ji Man Choi*,TOT,39,117,104,12,17,5,0,6,13,0,0,10,35,2,1,0,2,0
Ji Man Choi*,PIT,23,76,73,9,15,4,0,6,11,0,0,2,27,1,0,0,1,0
Ji Man Choi*,SDP,16,41,31,3,2,1,0,0,2,0,0,8,8,1,1,0,1,0
Taylor Clarke,KCR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kody Clemens*,PHI,47,148,139,15,32,7,0,4,13,0,0,8,40,1,1,0,0,0
Ernie Clement,TOR,29,52,50,7,19,1,1,1,10,1,0,1,4,0,0,0,1,0
Oscar Colás*,CHW,75,263,245,32,53,9,0,5,19,4,3,12,71,5,2,2,2,1
Dylan Coleman,KCR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zack Collins*,CLE,2,6,4,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0
Michael Conforto*,SFG,125,470,406,58,97,14,0,15,58,4,0,53,106,12,7,0,4,4
William Contreras,MIL,141,611,540,86,156,38,1,17,78,6,1,63,126,23,5,1,2,2
Willson Contreras,STL,125,495,428,55,113,27,0,20,67,6,3,51,111,12,13,1,2,0
Garrett Cooper,TOT,123,457,422,42,106,18,1,17,61,0,0,31,132,15,2,0,2,0
