Name,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GDP,HBP,SH,SF,IBB
David Villar,SFG,46,140,124,15,18,6,0,5,12,1,1,11,45,1,4,0,1,0
Meibrys Viloria*,CLE,10,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Daniel Vogelbach*,NYM,104,319,275,33,64,8,0,13,48,0,0,42,81,6,2,0,0,1
Luke Voit,MIL,22,74,68,5,15,3,0,0,4,2,0,4,27,3,2,0,0,0
Anthony Volpe,NYY,159,601,541,62,113,23,4,21,60,24,5,52,167,10,5,1,2,0
Jason Vosler*,CIN,20,65,62,6,10,2,1,3,10,0,0,3,25,0,0,0,0,0
Joey Votto*,CIN,65,242,208,26,42,6,0,14,38,0,0,27,62,2,7,0,0,0
LaMonte Wade Jr.*,SFG,135,519,429,64,110,14,2,17,45,2,0,76,95,4,6,4,4,3
Tyler Wade*,OAK,26,55,51,8,13,1,1,0,2,4,0,4,13,0,0,0,0,0
Adam Wainwright,STL,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Christian Walker,ARI,157,661,582,86,150,36,2,33,103,11,0,62,127,13,8,0,8,3
Jordan Walker,STL,117,465,420,51,116,19,2,16,51,7,4,37,104,9,6,0,2,0
Forrest Wall*,ATL,15,15,13,6,6,2,0,1,2,5,1,2,4,0,0,0,0,0
Chad Wallach,LAA,65,172,157,18,31,5,1,7,15,0,1,13,57,5,0,2,0,0
Matt Wallner*,MIN,76,254,213,42,53,11,1,14,41,2,1,28,80,1,13,0,0,1
Taylor Walls#,TBR,99,349,303,50,61,12,2,8,36,22,1,44,92,1,1,1,0,0
Jared Walsh*,LAA,39,116,104,10,13,4,0,4,11,0,0,11,45,1,1,0,0,0
Taylor Ward,LAA,97,409,356,60,90,18,0,14,47,4,2,39,80,9,8,0,6,0
Drew Waters#,KCR,98,337,302,40,69,11,5,8,32,16,5,27,107,4,5,0,3,0
Austin Wells*,NYY,19,75,70,8,16,6,0,4,13,0,0,3,14,3,0,0,1,0
Joey Wendle*,MIA,112,318,297,33,63,16,3,2,20,7,1,13,67,8,2,3,3,0
Hayden Wesneski,CHC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Westburg,BAL,68,228,208,26,54,17,2,3,23,4,1,16,56,3,1,0,3,0
Eli White,ATL,6,17,14,1,1,0,0,0,0,0,0,2,7,0,1,0,0,0
Garrett Whitlock,BOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joey Wiemer,MIL,132,410,367,48,75,19,0,13,42,11,4,36,116,4,5,0,2,0
Alika Williams,PIT,46,112,101,7,20,5,0,0,6,0,0,9,35,2,1,1,0,0
Luke Williams,TOT,11,19,19,1,1,0,0,0,0,4,0,0,7,0,0,0,0,0
Luke Williams,LAD,4,10,10,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0
Luke Williams,ATL,7,9,9,1,0,0,0,0,0,3,0,0,4,0,0,0,0,0
Weston Wilson,PHI,8,22,16,5,5,0,0,1,2,3,1,6,5,0,0,0,0,0
Jesse Winker*,MIL,61,197,166,16,33,5,0,1,23,0,0,26,51,0,4,0,1,0
Masyn Winn,STL,37,137,122,8,21,2,0,2,12,2,1,10,26,1,0,2,3,0
Patrick Wisdom,CHC,97,302,268,43,55,8,1,23,46,4,2,30,111,4,2,1,1,0
Brett Wisely*,SFG,51,131,120,10,21,5,0,2,8,2,1,9,40,2,0,1,1,0
Bobby Witt Jr.,KCR,158,694,641,97,177,28,11,30,96,49,15,40,121,11,4,1,8,1
Nick Wittgren,KCR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor Wong,BOS,126,403,371,55,87,25,2,9,36,8,2,22,134,4,6,3,1,0
Kolten Wong*,TOT,87,250,224,25,41,6,0,4,27,3,2,18,53,1,5,0,3,0
Kolten Wong*,SEA,67,216,194,21,32,6,0,2,19,1,1,16,46,0,4,0,2,0
Kolten Wong*,LAD,20,34,30,4,9,0,0,2,8,2,1,2,7,1,1,0,1,0
Austin Wynns,TOT,51,145,130,11,27,6,0,1,10,1,0,9,39,4,2,3,1,0
Austin Wynns,SFG,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Austin Wynns,LAD,5,12,11,0,2,1,0,0,2,0,0,1,5,0,0,0,0,0
Austin Wynns,COL,45,131,117,11,25,5,0,1,8,1,0,8,32,4,2,3,1,0
Ryan Yarbrough,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Yarbrough,LAD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Yastrzemski*,SFG,106,381,330,54,77,23,1,15,43,2,2,45,99,5,3,2,1,3
Christian Yelich*,MIL,144,632,550,106,153,34,1,19,76,28,3,78,140,15,3,0,1,7
Juan Yepez,STL,28,65,60,5,11,1,0,2,2,0,1,4,20,0,1,0,0,0
Masataka Yoshida*,BOS,140,580,537,71,155,33,3,15,72,8,0,34,81,20,7,0,2,0
Alex Young*,CIN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Young,WSN,33,121,107,9,27,7,1,0,12,13,0,10,22,2,1,3,0,0
Jared Young*,CHC,16,47,43,8,8,0,3,2,8,2,0,3,13,1,1,0,0,0
Seby Zavala,TOT,73,193,175,17,30,4,0,7,18,1,0,12,70,4,2,2,2,0
Seby Zavala,CHW,66,176,161,15,25,3,0,7,16,1,0,10,68,4,1,2,2,0
Seby Zavala,ARI,7,17,14,2,5,1,0,0,2,0,0,2,2,0,1,0,0,0
Mike Zunino,CLE,42,140,124,11,22,7,0,3,11,0,0,15,61,3,1,0,0,0
