Name,Tm,WAR
DJ LeMahieu,NYY,1.3
Sandy León#,TEX,-0.5
Josh Lester*,BAL,-0.2
Kyle Lewis,ARI,-0.5
Royce Lewis,MIN,2.4
Francisco Lindor#,NYM,6
Andre Lipcius,DET,-0.3
Luke Little*,CHC,0
Tim Locastro,NYM,0.4
Nick Loftin,KCR,0.6
Evan Longoria,ARI,0.5
Alejo López#,CIN,0.2
Irving Lopez*,STL,-0.4
Nicky Lopez*,2TM,1.8
Brandon Lowe*,TBR,2.1
Josh Lowe*,TBR,3.7
Nathaniel Lowe*,TEX,2.6
Marco Luciano,SFG,0.1
Nathan Lukes*,TOR,-0.1
Jordan Luplow,2TM,0
Manny Machado,SDP,2.9
Nick Madrigal,CHC,1.2
Bligh Madris*,HOU,-0.3
Drew Maggi,PIT,0
Luke Maile,CIN,0.9
Martín Maldonado,HOU,0.3
Trey Mancini,CHC,-1.4
Tucupita Marcano*,PIT,-0.3
Manuel Margot,TBR,0.6
Jake Marisnick,3TM,0.4
Cade Marlowe*,SEA,1
Brandon Marsh*,PHI,3.4
Ketel Marte#,ARI,4.9
Noelvi Marte,CIN,0.8
Starling Marte,NYM,-0.8
Chris Martin,BOS,0
J.D. Martinez,LAD,1.9
J.P. Martínez*,TEX,-0.2
Seth Martinez,HOU,0
Nick Martini*,CIN,0.2
Michael Massey*,KCR,-0.1
Miles Mastrobuoni*,CHC,0.5
Jorge Mateo,BAL,0.8
Mark Mathias,2TM,-0.3
Nick Maton*,DET,-1.5
Phil Maton,HOU,0
Luis Matos,SFG,-0.4
Ronny Mauricio#,NYM,0.2
Tim Mayza*,TOR,0
James McArthur,KCR,0
James McCann,BAL,0.5
Jake McCarthy*,ARI,0.5
Chas McCormick,HOU,3.6
Mason McCoy,TOR,0
Andrew McCutchen,PIT,1.5
Scott McGough,ARI,0
Reese McGuire*,BOS,-0.3
Ryan McKenna,BAL,0.5
Billy McKinney*,NYY,0.2
Zach McKinstry*,DET,1.1
Matt McLain,CIN,3.7
Ryan McMahon*,COL,2.9
Jeff McNeil*,NYM,2.4
Curtis Mead,TBR,0.5
Austin Meadows*,DET,-0.2
Parker Meadows*,DET,0.9
Wade Meckler*,SFG,0
Francisco Mejía#,TBR,0.2
MJ Melendez*,KCR,-0.4
Danny Mendick,NYM,-0.9
Joey Meneses,WSN,0.5
Óscar Mercado,STL,-0.2
Whit Merrifield,TOR,0.7
Julian Merryweather,CHC,0
Matt Mervis*,CHC,-0.4
Jake Meyers,HOU,1.6
Drew Millas#,WSN,0.2
Brad Miller*,TEX,0
Owen Miller,MIL,0.4
Shelby Miller,LAD,0
José Miranda,MIN,-0.2
Calvin Mitchell*,PIT,-0.1
Garrett Mitchell*,MIL,0.7
Andruw Monasterio,MIL,1.3
Yoán Moncada#,CHW,0.7
Mickey Moniak*,LAA,2.2
Elehuris Montero,COL,-0.1
Rafael Montero,HOU,0
Coco Montes,COL,-0.3
Dylan Moore,SEA,0.5
Jovani Morán*,MIN,0
Christopher Morel,CHC,1.2
Gabriel Moreno,ARI,4.3
Taylor Motter,STL,-0.6
Ryan Mountcastle,BAL,2.1
Mike Moustakas*,2TM,-0.1
Cedric Mullins*,BAL,2.8
Max Muncy*,LAD,2.6
Andrés Muñoz,SEA,0
Penn Murfee,SEA,0
Sean Murphy,ATL,3.9
Tom Murphy,SEA,1.2
Dane Myers,MIA,-0.3
Wil Myers,CIN,-0.6
James Naile,STL,0
Tyler Naquin*,CHW,-0.3
Andrew Nardi*,MIA,0
Omar Narváez*,NYM,0
Bo Naylor*,CLE,1.5
Josh Naylor*,CLE,2.5
Kyle Nelson*,ARI,0
Héctor Neris,HOU,0
Zach Neto,LAA,1.6
Tyler Nevin,DET,-0.6
Kevin Newman,CIN,-0.4
Tomás Nido,NYM,-0.8
Brandon Nimmo*,NYM,3.9
Ryan Noda*,OAK,2.3
Austin Nola,SDP,-0.5
Lars Nootbaar*,STL,3.3
Ryan O'Hearn*,BAL,1.2
Logan O'Hoppe,LAA,0.6
Brian O'Keefe,SEA,-0.2
Tyler O'Neill,STL,0.3
Rougned Odor*,SDP,-0.3
Shohei Ohtani*,LAA,6
Chris Okey,LAA,0
Edward Olivares,KCR,0.3
Matt Olson*,ATL,7.4
Jonathan Ornelas,TEX,0
Rafael Ortega*,NYM,0.2
Joey Ortiz,BAL,0
James Outman*,LAD,3.3
Chris Owings,PIT,-0.3
Marcell Ozuna,ATL,3.3
Cristian Pache,PHI,0.7
Chris Paddack,MIN,
Kevin Padlo,LAA,-0.2
Emilio Pagán*,MIN,0
Joshua Palacios*,PIT,-0.2
Richie Palacios*,STL,0.5
Isaac Paredes,TBR,4.2
Kyren Paris,LAA,0
Vinnie Pasquantino*,KCR,0.1
Joc Pederson*,SFG,0.6
Liover Peguero,PIT,-0.5
Jeremy Peña,HOU,3.8
David Peralta*,LAD,0.6
Oswald Peraza,NYY,-0.7
Geraldo Perdomo#,ARI,2.3
Everson Pereira,NYY,-0.6
Carlos Pérez,OAK,0.5
Carlos Pérez,CHW,0
Cionel Pérez,BAL,0
Michael Pérez*,NYM,0.3
Roberto Pérez,SFG,-0.1
Salvador Pérez,KCR,0.5
Blake Perkins#,MIL,1.2
Jace Peterson*,2TM,-0.3
Tommy Pham,2TM,1.5
Brett Phillips*,LAA,-0.1
Kevin Pillar,ATL,-0.1
Manny Piña,OAK,0
René Pinto,TBR,0.4
Nick Pivetta,BOS,0
Jorge Polanco#,MIN,2
AJ Pollock,2TM,-0.8
Logan Porter,KCR,0
Nick Pratto*,KCR,-1.3
Ryan Pressly,HOU,0
Jurickson Profar#,2TM,-1.3
Juniel Querecuto#,STL,-0.2
Ceddanne Rafaela,BOS,0
Cole Ragans*,TEX,0
Cal Raleigh#,SEA,3.2
Brooks Raley*,NYM,0
Luke Raley*,TBR,2.8
Harold Ramírez,TBR,2.1
José Ramírez#,CLE,5.1
Heliot Ramos,SFG,-0.3
Henry Ramos#,CIN,0.2
J.T. Realmuto,PHI,3.6
Rob Refsnyder,BOS,0.4
Zach Remillard,CHW,0.1
Anthony Rendon,LAA,0.1
Hunter Renfroe,2TM,-0.6
Luis Rengifo#,LAA,1.9
Franmil Reyes,KCR,-0.5
Pablo Reyes,BOS,0.4
Bryan Reynolds#,PIT,2.4
Matt Reynolds,CIN,-0.1
Austin Riley,ATL,5.9
Edwin Ríos*,CHC,-0.3
Alfonso Rivas*,2TM,0.3
Emmanuel Rivera,ARI,0.3
Anthony Rizzo*,NYY,0.5
Luis Robert Jr.,CHW,5
Víctor Robles,WSN,-0.1
Brayan Rocchio#,CLE,0.1
Brendan Rodgers,COL,0.1
Endy Rodríguez#,PIT,0.2
José Rodriguez,CHW,0
Julio Rodríguez,SEA,5.3
Jake Rogers,DET,0.7
Taylor Rogers*,SFG,0
Tyler Rogers,SFG,0
Johan Rojas,PHI,2.5
Josh Rojas*,2TM,0.5
Miguel Rojas,LAD,1.3
Jordan Romano,TOR,0
JoJo Romero*,STL,0
Brent Rooker,OAK,2.2
Ben Rortvedt*,NYY,-0.2
Amed Rosario,2TM,0.4
Eddie Rosario*,ATL,1.1
Eguy Rosario,SDP,0.4
Michael Rucker,CHC,0
Darin Ruf,2TM,-0.2
Esteury Ruiz,OAK,-0.1
José Ruiz,ARI,0
Keibert Ruiz#,WSN,1.3
Blake Rutherford*,WSN,-0.2
Adley Rutschman#,BAL,4.3
Blake Sabol*,SFG,0.2
César Salazar*,HOU,-0.2
Gary Sánchez,2TM,2.4
Jesús Sánchez*,MIA,1.7
Cole Sands,MIN,0
Carlos Santana#,2TM,2.7
Anthony Santander#,BAL,3
Tony Santillan,CIN,0
Tayler Saucedo*,SEA,0
Josh Sborz,TEX,0
Nolan Schanuel*,LAA,0.1
Casey Schmitt,SFG,-0.5
Davis Schneider,TOR,1.8
Jonathan Schoop,DET,-0.4
John Schreiber,BOS,0
Kyle Schwarber*,PHI,0.6
Tayler Scott,2TM,0
Corey Seager*,TEX,6.9
Chandler Seagle,SDP,0
Jean Segura,MIA,-1.9
Marcus Semien,TEX,7.4
Nick Senzel,CIN,0
Brian Serven,COL,-0.4
Paul Sewald,2TM,0
Gavin Sheets*,CHW,-1.5
Braden Shewmake*,ATL,-0.1
Zack Short,DET,0.5
Michael Siani*,2TM,-0.3
Lucas Sims,CIN,0
Jon Singleton*,2TM,-0.5
José Siri,TBR,1.7
Austin Slater,SFG,0.7
Dominic Smith*,WSN,0.9
Drew Smith,NYM,
Josh Smith*,TEX,0.9
Kevin Smith,OAK,-0.3
Pavin Smith*,ARI,-0.8
Will Smith,TEX,0
Will Smith,LAD,4.1
Canaan Smith-Njigba*,PIT,-0.2
Drew Smyly*,CHC,0
Tyler Soderstrom*,OAK,-1.1
Nick Solak,2TM,0
Donovan Solano,MIN,1.7
Jorge Soler,MIA,1.8
Edmundo Sosa,PHI,0.7
Lenyn Sosa,CHW,-0.8
Juan Soto*,SDP,5.5
Livan Soto*,LAA,0.1
Carson Spiers,CIN,0
George Springer,TOR,2.1
Jacob Stallings,MIA,-0.6
Ryne Stanek,HOU,0
Giancarlo Stanton,NYY,-0.8
Spencer Steer,CIN,2.9
